from_id,to_id,relationship_type,confidence,source_url,notes
TECH-ISO-ISO-1005-9-1986-1986,TECH-ISO-ISO-404-2013-AMD-1-2022-2022,references,source-confirmed,https://www.iso.org/standard/5469,Extracted from ISO source metadata text referencing ISO 404.
TECH-ISO-ISO-10052-2021-2021,TECH-ISO-ISO-717-1-2020-2020,references,source-confirmed,https://www.iso.org/standard/76560,Extracted from ISO source metadata text referencing ISO 717-1.
TECH-ISO-ISO-10052-2021-2021,TECH-ISO-ISO-717-2-2020-2020,references,source-confirmed,https://www.iso.org/standard/76560,Extracted from ISO source metadata text referencing ISO 717-2.
TECH-ISO-ISO-10059-2-2003-2003,TECH-ISO-ISO-10059-1-2025-2025,references,source-confirmed,https://www.iso.org/standard/36154,Extracted from ISO source metadata text referencing ISO 10059-1.
TECH-ISO-ISO-1006-1983-1983,TECH-ISO-ISO-2848-1984-1984,references,source-confirmed,https://www.iso.org/standard/5470,Extracted from ISO source metadata text referencing ISO 2848.
TECH-ISO-ISO-10061-1991-1991,TECH-ISO-ISO-1103-2007-2007,references,source-confirmed,https://www.iso.org/standard/18029,Extracted from ISO source metadata text referencing ISO 1103.
TECH-ISO-ISO-10069-1-2008-2008,TECH-ISO-ISO-10069-2-2008-2008,references,source-confirmed,https://www.iso.org/standard/45054,Extracted from ISO source metadata text referencing ISO 10069-2.
TECH-ISO-ISO-10069-2-2008-2008,TECH-ISO-ISO-10069-1-2008-2008,references,source-confirmed,https://www.iso.org/standard/45055,Extracted from ISO source metadata text referencing ISO 10069-1.
TECH-ISO-ISO-10071-2-2005-2005,TECH-ISO-ISO-10071-1991-1991,references,source-confirmed,https://www.iso.org/standard/33849,Extracted from ISO source metadata text referencing ISO 10071.
TECH-ISO-ISO-10075-1-2017-2017,TECH-ISO-ISO-10075-1991-1991,references,source-confirmed,https://www.iso.org/standard/66900,Extracted from ISO source metadata text referencing ISO 10075.
TECH-ISO-ISO-10075-1991-1991,TECH-ISO-ISO-6385-2016-2016,references,source-confirmed,https://www.iso.org/standard/18045,Extracted from ISO source metadata text referencing ISO 6385.
TECH-ISO-ISO-10075-2-2024-2024,TECH-ISO-ISO-10075-1-2017-2017,references,source-confirmed,https://www.iso.org/standard/76686,Extracted from ISO source metadata text referencing ISO 10075-1.
TECH-ISO-ISO-10077-2-2017-2017,TECH-ISO-ISO-52000-1-2017-2017,references,source-confirmed,https://www.iso.org/standard/64995,Extracted from ISO source metadata text referencing ISO 52000-1.
TECH-ISO-ISO-10080-1990-1990,TECH-ISO-ISO-1109-1975-1975,references,source-confirmed,https://www.iso.org/standard/18051,Extracted from ISO source metadata text referencing ISO 1109.
TECH-ISO-ISO-10083-1992-1992,TECH-ISO-ISO-7396-1987-1987,references,source-confirmed,https://www.iso.org/standard/18055,Extracted from ISO source metadata text referencing ISO 7396.
TECH-ISO-ISO-10083-2006-2006,TECH-ISO-ISO-7396-1-2016-AMD-1-2017-2017,references,source-confirmed,https://www.iso.org/standard/32061,Extracted from ISO source metadata text referencing ISO 7396-1.
TECH-ISO-ISO-10083-2006-2006,TECH-ISO-ISO-8359-1996-AMD-1-2012-2012,references,source-confirmed,https://www.iso.org/standard/32061,Extracted from ISO source metadata text referencing ISO 8359.
TECH-ISO-ISO-10088-2009-2009,TECH-ISO-ISO-21487-2022-2022,references,source-confirmed,https://www.iso.org/standard/45343,Extracted from ISO source metadata text referencing ISO 21487.
TECH-ISO-ISO-10088-2013-2013,TECH-ISO-ISO-21487-2022-2022,references,source-confirmed,https://www.iso.org/standard/59435,Extracted from ISO source metadata text referencing ISO 21487.
TECH-ISO-ISO-10094-1-2021-2021,TECH-ISO-ISO-5598-2020-2020,references,source-confirmed,https://www.iso.org/standard/74329,Extracted from ISO source metadata text referencing ISO 5598.
TECH-ISO-ISO-10094-2-2021-2021,TECH-ISO-ISO-10041-2-2010-2010,references,source-confirmed,https://www.iso.org/standard/74328,Extracted from ISO source metadata text referencing ISO 10041-2.
TECH-ISO-ISO-10094-2-2021-2021,TECH-ISO-ISO-10094-1-2021-2021,references,source-confirmed,https://www.iso.org/standard/74328,Extracted from ISO source metadata text referencing ISO 10094-1.
TECH-ISO-ISO-10094-2-2021-2021,TECH-ISO-ISO-6953-2-2024-2024,references,source-confirmed,https://www.iso.org/standard/74328,Extracted from ISO source metadata text referencing ISO 6953-2.
TECH-ISO-ISO-10094-2-2021-2021,TECH-ISO-ISO-6953-3-2012-2012,references,source-confirmed,https://www.iso.org/standard/74328,Extracted from ISO source metadata text referencing ISO 6953-3.
TECH-ISO-ISO-10101-1-1993-1993,TECH-ISO-ISO-10101-2-2022-2022,references,source-confirmed,https://www.iso.org/standard/18075,Extracted from ISO source metadata text referencing ISO 10101-2.
TECH-ISO-ISO-10101-1-1993-1993,TECH-ISO-ISO-10101-3-2022-2022,references,source-confirmed,https://www.iso.org/standard/18075,Extracted from ISO source metadata text referencing ISO 10101-3.
TECH-ISO-ISO-10101-1-2022-2022,TECH-ISO-ISO-10101-2-2022-2022,references,source-confirmed,https://www.iso.org/standard/68636,Extracted from ISO source metadata text referencing ISO 10101-2.
TECH-ISO-ISO-10101-1-2022-2022,TECH-ISO-ISO-10101-3-2022-2022,references,source-confirmed,https://www.iso.org/standard/68636,Extracted from ISO source metadata text referencing ISO 10101-3.
TECH-ISO-ISO-10102-2018-2018,TECH-ISO-ISO-1703-2018-2018,references,source-confirmed,https://www.iso.org/standard/71906,Extracted from ISO source metadata text referencing ISO 1703.
TECH-ISO-ISO-10102-2018-2018,TECH-ISO-ISO-1711-1975-AMD-1-1982-1982,references,source-confirmed,https://www.iso.org/standard/71906,Extracted from ISO source metadata text referencing ISO 1711.
TECH-ISO-ISO-10103-2018-2018,TECH-ISO-ISO-1703-2018-2018,references,source-confirmed,https://www.iso.org/standard/71907,Extracted from ISO source metadata text referencing ISO 1703.
TECH-ISO-ISO-10103-2018-2018,TECH-ISO-ISO-1711-1975-AMD-1-1982-1982,references,source-confirmed,https://www.iso.org/standard/71907,Extracted from ISO source metadata text referencing ISO 1711.
TECH-ISO-ISO-10104-2018-2018,TECH-ISO-ISO-1703-2018-2018,references,source-confirmed,https://www.iso.org/standard/71909,Extracted from ISO source metadata text referencing ISO 1703.
TECH-ISO-ISO-10104-2018-2018,TECH-ISO-ISO-1711-1975-AMD-1-1982-1982,references,source-confirmed,https://www.iso.org/standard/71909,Extracted from ISO source metadata text referencing ISO 1711.
TECH-ISO-ISO-10110-12-2019-2019,TECH-ISO-ISO-10110-19-2015-2015,references,source-confirmed,https://www.iso.org/standard/69956,Extracted from ISO source metadata text referencing ISO 10110-19.
TECH-ISO-ISO-10110-14-2003-2003,TECH-ISO-ISO-10110-5-2015-2015,references,source-confirmed,https://www.iso.org/standard/26178,Extracted from ISO source metadata text referencing ISO 10110-5.
TECH-ISO-ISO-10110-14-2018-2018,TECH-ISO-ISO-10110-19-2015-2015,references,source-confirmed,https://www.iso.org/standard/69957,Extracted from ISO source metadata text referencing ISO 10110-19.
TECH-ISO-ISO-10110-17-2004-2004,TECH-ISO-ISO-11254-1-2000-2000,references,source-confirmed,https://www.iso.org/standard/30924,Extracted from ISO source metadata text referencing ISO 11254-1.
TECH-ISO-ISO-10110-6-2025-2025,TECH-ISO-ISO-10110-19-2015-2015,references,source-confirmed,https://www.iso.org/standard/82181,Extracted from ISO source metadata text referencing ISO 10110-19.
TECH-ISO-ISO-10110-8-2019-2019,TECH-ISO-ISO-10110-12-2019-2019,references,source-confirmed,https://www.iso.org/standard/69532,Extracted from ISO source metadata text referencing ISO 10110-12.
TECH-ISO-ISO-10110-8-2019-2019,TECH-ISO-ISO-10110-19-2015-2015,references,source-confirmed,https://www.iso.org/standard/69532,Extracted from ISO source metadata text referencing ISO 10110-19.
TECH-ISO-ISO-10110-8-2019-2019,TECH-ISO-ISO-10110-5-2015-2015,references,source-confirmed,https://www.iso.org/standard/69532,Extracted from ISO source metadata text referencing ISO 10110-5.
TECH-ISO-ISO-10111-2019-2019,TECH-ISO-ISO-3892-2000-2000,references,source-confirmed,https://www.iso.org/standard/73284,Extracted from ISO source metadata text referencing ISO 3892.
TECH-ISO-ISO-10121-1-2014-2014,TECH-ISO-ISO-NP-10121-0000,references,source-confirmed,https://www.iso.org/standard/51372,Extracted from ISO source metadata text referencing ISO 10121.
TECH-ISO-ISO-10121-2-2013-2013,TECH-ISO-ISO-NP-10121-0000,references,source-confirmed,https://www.iso.org/standard/51373,Extracted from ISO source metadata text referencing ISO 10121.
TECH-ISO-ISO-10121-3-2022-2022,TECH-ISO-ISO-16890-1-2016-2016,references,source-confirmed,https://www.iso.org/standard/77498,Extracted from ISO source metadata text referencing ISO 16890-1.
TECH-ISO-ISO-10126-2-1991-1991,TECH-ISO-ISO-10126-1-1991-1991,references,source-confirmed,https://www.iso.org/standard/18114,Extracted from ISO source metadata text referencing ISO 10126-1.
TECH-ISO-ISO-10126-2-1991-1991,TECH-ISO-ISO-8732-1988-COR-1-1999-1999,references,source-confirmed,https://www.iso.org/standard/18114,Extracted from ISO source metadata text referencing ISO 8732.
TECH-ISO-ISO-10130-2009-2009,TECH-ISO-ISO-15819-2014-2014,references,source-confirmed,https://www.iso.org/standard/45840,Extracted from ISO source metadata text referencing ISO 15819.
TECH-ISO-ISO-10138-1991-1991,TECH-ISO-ISO-4936-1984-1984,references,source-confirmed,https://www.iso.org/standard/18132,Extracted from ISO source metadata text referencing ISO 4936.
TECH-ISO-ISO-10140-1-2016-2016,TECH-ISO-ISO-10140-2-2021-2021,references,source-confirmed,https://www.iso.org/standard/67232,Extracted from ISO source metadata text referencing ISO 10140-2.
TECH-ISO-ISO-10140-1-2016-2016,TECH-ISO-ISO-10140-3-2021-2021,references,source-confirmed,https://www.iso.org/standard/67232,Extracted from ISO source metadata text referencing ISO 10140-3.
TECH-ISO-ISO-10140-1-2021-2021,TECH-ISO-ISO-10140-3-2021-2021,references,source-confirmed,https://www.iso.org/standard/73910,Extracted from ISO source metadata text referencing ISO 10140-3.
TECH-ISO-ISO-10140-3-2021-2021,TECH-ISO-ISO-10140-5-2021-2021,references,source-confirmed,https://www.iso.org/standard/79483,Extracted from ISO source metadata text referencing ISO 10140-5.
